Date_Post,Job_Title,Company_Name,Image_Link,Job_Link,Location,Job_Type,Work_Type,Experience_Level,Skills,Job_Description,Job_Requirement
4 days ago,Math Teacher - Orman 26th of July,Orman Smart School  -,,https://wuzzuf.net/jobs/p/QNNceCXYk3iu-Math-Teacher---Orman-26th-of-July-Orman-Smart-School-Giza-Egypt,"Giza, Egypt ",Full Time,On-site,'1+,"['Education', 'Math', 'Mathematics', 'Teaching']","Teaching in primary 1, 2, 3, 4, 5, or 6 
 Ensuring that all students succeed academically and develop holistically 
 Assisting supervisors in developing curricular materials 
 Assisting supervisors in curricular and co-curricular activities and events","Fluency in the English language 
 Bachelor's degree in a related field 
 At least 1 year of teaching experience"
4 days ago,Cisco Network Engineer,Info Resume Edge - GCC -,,https://wuzzuf.net/jobs/p/g/5J8TpdaEM7sE-Cisco-Network-Engineer-Info-Resume-Edge---GCC-Dubai-United-Arab-Emirates,"Dubai, United Arab Emirates ",Full Time,On-site,'Not specified,"['Information Technology (IT)', 'Computer Science', 'Engineering', 'Cisco', 'Networking', 'CCNA', 'Networks', 'CCNP', 'Computer Engineering', 'Installation', 'Network Administration', 'Software Engineering', 'Troubleshooting', 'Maintenance', 'Telecommunication', 'Network', 'Security', 'Software Development', 'WAN', 'Routing']","We are seeking a skilled and certified Cisco Network Engineer to design, implement, maintain, and support our growing network infrastructure. You will be part of a systems engineering team that is responsible for building scalable, secure, and highly available network architectures using Cisco technologies.Key Responsibilities:Design and deploy functional and secure networks (LAN, WAN, WLAN, VLAN, VPN) using Cisco routers, switches, and firewalls. Configure and install Cisco hardware, software, and network services. Monitor network performance and troubleshoot issues to ensure high levels of performance, availability, and security. Collaborate with network architects and other IT staff to optimize and expand the existing network. Manage Cisco equipment upgrades, patches, and security configurations. Provide Level 2/3 support and troubleshooting to resolve network issues. Maintain accurate documentation of network infrastructure and configuration. Ensure compliance with IT policies, security protocols, and regulatory requirements. Participate in disaster recovery planning and regular testing. Conduct network performance tuning and capacity planning. Requirements:Bachelor's degree in Computer Science, Information Technology, or a related field. Proven experience as a Network Engineer, preferably in an enterprise Cisco environment. Cisco certifications such as CCNA, CCNP, or CCIE (preferred/required based on level). Hands-on experience with Cisco routing, switching, ASA/Firepower firewalls, and wireless technologies. Strong knowledge of network protocols (e.g., BGP, OSPF, EIGRP, STP, HSRP, VRRP). Experience with network monitoring tools (e.g., SolarWinds, PRTG, Cisco Prime). Familiarity with IP address management and network access control. Excellent problem-solving, communication, and documentation skills. Ability to work independently and in a team-oriented, collaborative environment. Preferred Skills:Experience with SD-WAN, Cisco DNA Center, or Meraki solutions. Knowledge of cloud networking (AWS, Azure, GCP). Understanding of cybersecurity best practices and tools. Scripting skills (e.g., Python, Bash) for network automation.",Job Requirements not found.
4 days ago,Customer Service Agent - English,Intouch CX  -,,https://wuzzuf.net/jobs/p/Lt24KzwKlQTy-Customer-Service-Agent---English-Intouch-CX-Cairo-Egypt,"Maadi, Cairo, Egypt ",Full Time,On-site,'1+,"['BPO', 'Customer Service', 'Customer Support', 'Customer Care', 'Customer', 'English']","Respond to customer queries in a timely and accurate way, via phone, email or chat 
 Identify customer needs and help customers use specific features 
 Analyze and report product malfunctions (for example, by testing different scenarios or impersonating users) 
 Update our internal databases with information about technical issues and useful discussions with customers 
 Monitor customer complaints on social media and reach out to provide assistance 
 Share feature requests and effective workarounds with team members 
 Inform customers about new features and functionalities 
 Follow up with customers to ensure their technical issues are resolved 
 Gather customer feedback and share with our Product, Sales and Marketing teams 
 Assist in training junior Customer Support Representatives","Minimum 6 months of experience in Customer Service. 
 English proficiency at B2 level or higher. 
 Flexibility to work in 24/7 rotating shifts. 
 Ability to work on-site at Maadi Technology Park. 
 Immediate joiners preferred. 
 No transportation provided, but a transportation allowance will be provided. 
 9-hour shifts (8 working hours + 1 break). 
 5 working days with 2 days off per week. 
 International Semi-Voice Process. 
 Salary: 19000 EGP/month (Gross). 
 Joining Date : - 09/05/2025"
4 days ago,Project Coordinator,AICT -,,https://wuzzuf.net/jobs/p/r0jIr6YPeDGs-Project-Coordinator-AICT-Alexandria-Egypt,"Alexandria, Egypt ",Full Time,On-site,'5 - 7,"['Administration', 'Coordination', 'English', 'excel', 'Management', 'Skills', 'Project', 'Project Coordination', 'Project Management', 'Microsoft Office']","Ensure that all aspects of a project are organized and in conformance with 
 the agreed timeline and deliverables. 
 Assist the Project Director to monitor project progress and team members’ 
 performance and provide updates to project stakeholders. 
 Develop and maintain project performance database that tracks overall 
 progress and achievement of milestones. 
 Assign and monitor resources effectively to boost project efficiency and 
 maximize deliverables output. 
 Report project risks and outcomes to appropriate management channels, 
 and escalate issues according to project work plans. 
 Serve as point of communication between company departments and 
 external resources from suppliers and contractors for alignment on the project timeline.",No list items found in the requirements section.
4 days ago,Procurement Specialist – Raw Materials (Flavors Industry),Confidential -,,https://wuzzuf.net/jobs/p/LDK0rQ1LNMlN-Procurement-Specialist-–-Raw-Materials-Flavors-Industry-Giza-Egypt,"6th of October, Giza, Egypt ",Full Time,On-site,'4 - 5,"['Chemicals', 'Chemistry', 'ERP', 'Food', 'food safety', 'Logistics', 'negotiation skills', 'Procurement', 'Purchasing', 'Science', 'Supply Chain', 'SAP']","Raw Material Purchasing 
 Execute purchase orders for raw materials including natural and synthetic ingredients used in flavor formulations. 
 Monitor raw material requirements based on production forecasts, safety stock, and R&D demand. 
 Liaise with suppliers to confirm availability, pricing, lead times, and delivery schedules. 
 Supplier Coordination 
 Maintain regular communication with approved vendors to track shipments and resolve delivery issues. 
 Assist in evaluating new suppliers based on cost, quality, reliability, and sustainability. 
 Maintain and update supplier documentation including specifications, certifications, and compliance records. 
 Inventory & Data Management 
 Ensure adequate stock levels through careful monitoring of inventory and usage trends. 
 Maintain accurate data in ERP systems (e.g., SAP, Oracle, Microsoft Dynamics), including pricing, lead times, and supplier details. 
 Support the Procurement Manager in monthly reporting, cost tracking, and performance metrics","Bachelor’s degree in Supply Chain, Food Science, Chemistry, or a related field. 
 2–5 years of procurement or supply chain experience in theflavor, fragrance, or food ingredientsindustry. 
 Familiarity with sourcing of essential oils, aroma chemicals, botanical extracts, or flavor bases. 
 Strong communication and negotiation skills. 
 Proficient with ERP and procurement systems Preferably SAP User. 
 Knowledge of food safety and regulatory standards (e.g., FDA, REACH, Kosher/Halal, Organic). 
 Basic knowledge of flavor formulation or ingredient functionality."
4 days ago,Sr. Production Engineer,Modern Hygienic international -,,https://wuzzuf.net/jobs/p/VdxkhX0XAaN8-Sr-Production-Engineer-Modern-Hygienic-international-Suez-Egypt,"Ain Sokhna, Suez, Egypt ",Full Time,On-site,'4 - 6,"['Mechanical Engineering', 'Production', 'Manufacturing', 'Production engineer', 'FMCG', 'Engineering', 'Operations', 'Production Engineering', 'Mechanical']","Supervision of Production Lines 
 : Oversee the daily operations of five production lines, ensuring that all processes are running smoothly and efficiently while adhering to safety and quality standards. 
 Team Management 
 : Manage and lead a team of line leaders and machine operators. Provide guidance, training, and support to enhance team performance and engagement. 
 Implementation of IWS System 
 : Apply the Integrated Work System (IWS) framework to optimize production processes, ensuring that best practices are consistently followed across all lines. 
 Lean Six Sigma Practices 
 : Lead Lean Six Sigma initiatives to improve process efficiency and reduce waste. Implement Kaizen events to foster a culture of continuous improvement. 
 5S Methodology Application 
 : Ensure that the 5S methodology (Sort, Set in order, Shine, Standardize, Sustain) is effectively implemented within the production environment to maintain organization and cleanliness. 
 Performance Analysis and Reporting 
 : Utilize detailed analysis and reporting systems to monitor production performance. Regularly report on key metrics, identifying trends and areas for improvement. 
 Technical Enhancements 
 : Employ advanced production technical tools and systems to enhance operational capabilities, ensuring that the production process is efficient and effective. 
 Quality Assurance 
 : Collaborate with the quality assurance team to ensure that all products meet the required standards and specifications, implementing corrective actions as needed. 
 Resource Management 
 : Manage production resources, including materials, equipment, and personnel, to ensure optimal productivity and minimize delays or shortages. 
 Compliance and Safety 
 : Ensure compliance with all relevant health, safety, and environmental regulations. Conduct regular safety audits and training sessions for the team.","Bachelor’s Degree:  In Engineering (Industrial, Mechanical, or equivalent) from a recognized university. 
 Technical Experience: At least 5 years of experience in production engineering or operations management within the FMCG industry. (must) 
 Previous experience in Diaper is highly preferred. 
 Managerial Experience: Minimum of 3 years in a supervisory or managerial role, with a proven track record of leading production teams. 
 Quality & System Program: Lean Six Sigma, Kaizen, Fishbone & 5S fully understanding & implemented as well IWS or equivalent Production system 
 ERP - SAB user is plus 
 Microsoft office (Word, excel & PowerPoint) full understanding & Experience. 
 Very good in English. 
 Advanced engineering program is a plus 
 Adaptability. 
 Attention to Detail. 
 Stress Management. 
 Collaboration. 
 Strategic Thinking. 
 Compliance Enforcement 
 Decision-Making"
4 days ago,Account Manager,Prosoft Information Systems -,,https://wuzzuf.net/jobs/p/SiO4je2aZ4vN-Account-Manager-Prosoft-Information-Systems-Giza-Egypt,"Smart Village, Giza, Egypt ",Full Time,On-site,'2 - 5,"['Account Management', 'business', 'Communication', 'IT', 'Microsoft Office', 'Marketing', 'channel sales', 'CRM', 'Management', 'Sales', 'sales skills', 'Sales Target']","We are seeking a motivated and detail-oriented Account Manager to join our software distribution team. This role is responsible for managing and supporting relationships with channel partners and vendors, issuing accurate quotes, tracking sales pipelines, and providing reliable forecasting. The ideal candidate has a customer-focused approach, excellent organizational skills, and experience in the IT distribution or technology sales environment. 
 Key Responsibilities: 
 Quote Management: Generate and deliver timely, accurate pricing quotes for technology products and solutions to partners. 
 Partner and Vendor Engagement: Serve as the main point of contact for partners and vendors; ensure smooth day-to-day communication and coordination. 
 Pipeline Tracking: Maintain and update sales opportunities within CRM tools; proactively follow up to ensure progress and deal closure. 
 Forecasting: Work with internal teams and partners to provide accurate sales forecasts based on pipeline data and market insights. 
 Relationship Management: Build and nurture strong, long-term relationships with partners, delivering excellent service and strategic support. 
 Reporting: Provide consistent updates on pipeline status, forecast accuracy, and partner activity to sales leadership. 
 Process Improvement: Contribute to the refinement of sales processes to improve efficiency, partner satisfaction, and overall performance.","2–5 years of experience in account management, channel sales, or IT distribution 
 Strong organizational and multitasking skills with attention to detail 
 Experience using CRM and forecasting tools (e.g., Salesforce, Excel) 
 Excellent verbal and written communication skills 
 Ability to thrive in a fast-paced, deadline-driven environment 
 Proficiency in Microsoft Office Suite 
 Bachelor’s degree in Business, Marketing, or a related field preferred 
 Familiarity with enterprise technology products and services 
 Previous experience in a distributor or value-added reseller (VAR) environment 
 Understanding of the technology partner ecosystem 
 Preferably October/Sheikh Zayed Resident"
4 days ago,Logistics Section Head,SIPES -,,https://wuzzuf.net/jobs/p/u14nKc1bJrqT-Logistics-Section-Head-SIPES-Cairo-Egypt,"Nozha, Cairo, Egypt ",Full Time,Hybrid,'3 - 6,"['Logistics', 'Supply Chain', 'Import / Export']","Oversee import/export logistics operations, ensuring compliance with Egyptian regulations and international trade laws. 
 • Manage the entire transportation process, including route planning, mode selection, and cost optimization for international shipments. 
 • Ensure timely customs clearance and compliance with regulations, leveraging systems like Nafeza, ACI, and CPS for efficient operations. 
 • Supervise the preparation of all necessary shipping and customs documentation. 
 • Collaborate with internal departments such as planning, export, procurement, finance, and production to ensure smooth logistical support for business operations. 
 • Manage relationships with freight forwarders, customs brokers, and transportation service providers to optimize service levels and costs. 
 • Monitor and ensure compliance with all legal and regulatory requirements for export and import activities, particularly with respect to Egyptian customs and foreign trade policies. 
 • Develop and implement strategies to reduce logistics costs, increase operational efficiency, and ensure timely delivery of goods. 
 • Ensure the accuracy of shipping, freight, and logistics budgets.",No list items found in the requirements section.
4 days ago,Senior Cloud Administrator,Seoudi Supermarket -,,https://wuzzuf.net/jobs/p/Xjc1j9hEkZvV-Senior-Cloud-Administrator-Seoudi-Supermarket-Giza-Egypt,"Sheikh Zayed, Giza, Egypt ",Full Time,On-site,'5 - 7,"['Business Administration', 'Cloud', 'Computer Science', 'Design', 'Engineering', 'Information Technology (IT)', 'Management', 'MCSA', 'MCSE', 'Software', 'Azure', 'AWS']","The Sr. Cloud administrator’s role is to ensure the stability, integrity, and efficient operation of the in-house information systems that support core organizational functions. This is achieved by monitoring, maintaining, supporting, and optimizing all software and associated operating systems. The Sr. Cloud administrator will apply proven communication, analytical, and problem-solving skills to help identify, communicate, and resolve issues to maximize the benefit of IT systems investments. This individual will also mentor and guide the Systems Engineer staff. 
 Responsibilities 
 Design, develop, and deploy modular cloud-based systems 
 Develop and maintain cloud solutions following best practices 
 Ensure efficient functioning of data storage and process functions following company security policies and best practices in cloud security 
 Managing Dell Azure, AWS and Google Cloud infrastructure 
 Administration and monitoring Backup solution. 
 Advanced knowledge of operating system fundamentals for Microsoft Windows and Linux, networking, and security 
 Extensive experience with scripting and automation. 
 Identify, analyze, and resolve infrastructure vulnerabilities and application deployment issues 
 Administration troubleshooting and deployment of Windows Server 2008 R2, 2012, 2012 R2, 2016, 2019, and 2022 Active Directory environments. 
 Administrate AD Sites, Organizational Unit (OU), Users and Groups, and Group Policy management. 
 Administrate, implement, and configure and troubleshoot Active Directory, AD Connect, , Microsoft Azure features, AWS infrastructure and Google cloud infrastructure. 
 Managing and troubleshooting in Microsoft 365: Security, Compliance, Teams, SharePoint, Exchange Online 
 Administrate Azure AD, Azure ATP, Conditional Access 
 Virtualization technologies: VMware vSphere, vCenter and Hyper-V 
 Participate in the administration and maintenance of the remote monitoring and management system: update agents, and scripts, respond to alerts, monitor the dashboard, and periodic system review. 
 Document maintenance for all system infrastructure 
 Remote monitoring and management of system alerts and notifications 
 Communication with clients as required: keeping them informed of incident progress, notifying them of impending changes or agreed outages. 
 Perform system monitoring, verify the integrity and availability of all hardware, server resources, systems and key processes, review system and application logs, and verify completion of scheduled jobs such as backups. 
 Continual maintenance of security, including backup and redundancy strategies 
 Consistently provide 2nd level support 
 Communication as a liaison with vendors and other IT personnel to resolve issues 
 Administrate external Domains and DNS 
 Understanding DevOps and CI/CD - Experience with DevOps methods and CI/CD pipelines","The Sr. Cloud administrator will have a bachelor’s degree and 5 to 7 years of Sr. Cloud administrator experience. 
 Having the certificates Microsoft MCSA, MCSE,AZ700 and Az800  is preferred 
 Hands on experience on Microsoft Azure,AWS and Microsoft 365 
 Proven experience in overseeing the design, development, and implementation of software systems, applications, and related products. 
 Proven experience with systems planning, security principles, and general software management best practices. 
 Excellent understanding of the organization’s goals and objectives. 
 Azure, AWS, and GCP certifications preferred 
 Troubleshooting and analytical skills 
 Strong communication and collaboration skills"
4 days ago,Senior Operations Specialist – Tourism & Travel,Unique Solutions Network -,,https://wuzzuf.net/jobs/p/zoe0A8PaZxn2-Senior-Operations-Specialist-–-Tourism-Travel-Unique-Solutions-Network-Cairo-Egypt,"Cairo, Egypt ",Full Time,On-site,'3 - 5,"['Customer Care', 'Customer Service', 'Microsoft Office', 'Operations', 'Tourism', 'Tourism industry', 'Travel']","Job Role: 
 We are seeking an experienced and detail-oriented Senior Operations Specialist to oversee 
 day-to-day travel operations and ensure seamless service delivery across our travel products. 
 The ideal candidate will manage complex itineraries, handle vendor coordination, resolve 
 escalations, and support the operations team with best practices to maintain high service 
 standards and customer satisfaction. 
 Job Description: 
 Manage and oversee the fulfillment of bookings including hotels, transfers, tours, and 
 other services. 
 Coordinate with suppliers, agents, and internal departments to ensure accurate and 
 timely service delivery. 
 Supervise junior team members and assist in training or onboarding new staff. 
 Resolve complex or escalated issues from clients, suppliers, or partners efficiently and 
 professionally. 
 Monitor operations KPIs (e.g., confirmation turnaround, service quality, complaint 
 resolution). 
 Assist in process improvements to increase operational efficiency and reduce service 
 errors. 
 Conduct pre-departure checks and quality control for high-value or complex itineraries. 
 Support emergency response protocols, including after-hours assistance if required 
 Collaborate with the product and contracting teams on supplier performance and quality 
 issues.","Bachelor’s degree in Tourism, Hospitality, Business Administration, or a related field. 
 Minimum 3–5 years of experience in operations within the travel or tourism industry. 
 Strong command of Microsoft Office tools, particularly Excel and Outlook. 
 Knowledge of travel logistics, itinerary planning, and booking flows. 
 Strong problem-solving and conflict-resolution abilities. 
 Excellent communication and customer service skills. 
 Experience working in a DMC, tour operator, or OTA environment. 
 Familiarity with regional destinations and supplier networks. 
 Multilingual capabilities are a plus (e.g., English + French/Spanish/Arabic, depending onthe region)."
4 days ago,Head of sales – Food B2B Industry,Olam SVI -,,https://wuzzuf.net/jobs/p/Sehjgk2uo0Gq-Head-of-sales-–-Food-B2B-Industry-Olam-SVI-Giza-Egypt,"6th of October, Giza, Egypt ",Full Time,Hybrid,'9 - 12,"['B2B Sales', 'business', 'Communication', 'Export', 'Food', 'Food industry', 'Industry', 'Marketing', 'Sales', 'sales skills', 'Sales Target', 'B2B', 'Agriculture', 'CRM']","Sales Strategy & Market Development 
 Develop and execute sales strategies to expand market share in spices, herbs, and raw food ingredients 
 Identify emerging market trends (e.g., organic, clean-label, ethnic flavors) and align offerings accordingly. 
 Drive pricing strategies in coordination with procurement to maintain margins while remaining competitive. 
 Customer & Account Management 
 Build and maintain relationships with key B2B customers: food manufacturers, seasoning companies, co-packers, and bulk buyers. 
 Lead contract negotiations, including long-term supply agreements, pricing, and volume commitments. 
 Provide tailored ingredient solutions to clients based on their formulation and sourcing needs. 
 Sales Operations & Team Leadership 
 Lead and mentor a regional or national sales team with expertise in food ingredients. 
 Set team KPIs, implement performance management processes, and ensure targets are achieved. 
 Oversee CRM utilization and sales pipeline forecasting. 
 Reporting & Compliance 
 Provide regular sales forecasts, competitor intelligence, and strategic reports to executive leadership.","Bachelor’s degree in Food Science, Business, Agriculture, or related field; MBA is a plus. 
 9+ years of B2B sales experience in the food ingredients industry, particularly inspices and raw materials. 
 Proven track record of meeting/exceeding sales targets in foodservice, manufacturing, or distribution channels. 
 Strong negotiation, leadership, and strategic planning skills. 
 Deep understanding of food supply chains, product categories, and customer needs. 
 Excellent communication and interpersonal abilities. 
 Experience in international or export B2B food sales. 
 Familiarity with sustainability and ESG trends in food sourcing 
 strong understanding of global spice sourcing, supply chain dynamics, and seasonal volatility. 
 Familiarity with CRM systems and reporting tools (e.g., Salesforce)."
4 days ago,Senior Devops Engineer,Seoudi Supermarket -,,https://wuzzuf.net/jobs/p/l8tDZd9yVfEg-Senior-Devops-Engineer-Seoudi-Supermarket-Giza-Egypt,"Sheikh Zayed, Giza, Egypt ",Full Time,On-site,'5 - 7,"['Azure', 'Computer Science', 'Design', 'Docker', 'Engineering', 'Information Technology (IT)', 'Linux', 'Git', 'Python', 'Software', 'Software Development', 'AWS']","The Sr. dev ops engineer role is to ensure the stability, integrity, and efficient operation of the in-house information systems that support core organizational functions. This is achieved by monitoring, maintaining, supporting, and optimizing all software and associated operating systems. The Sr. dev ops engineer will apply proven communication, analytical, and problem-solving skills to help identify, communicate, and resolve issues to maximize the benefit of IT systems investments. This individual will also mentor and provide guidance to the Systems Engineer staff. 
 Responsibilities 
 Develop and maintain the company's DevOps strategy, ensuring alignment with business goals and objectives. 
 Collaborate with development teams to automate and optimize our release and deployment process. 
 Design, implement, and manage CI/CD pipelines for a range of projects. 
 Automate and streamline deployment processes, minimizing manual intervention and improving system efficiency. 
 Design and implement monitoring, logging, and alerting systems to proactively identify and resolve issues before they impact the business. 
 Collaborate with software developers, quality assurance engineers and IT professionals to guarantee smooth deployment, automation and management of software infrastructure. 
 Create and maintain monitoring systems to guarantee high availability and performance for software applications. 
 Manage and enhance cloud infrastructure such as AWS, Azure, and GCP 
 Automating software deployment, configuration, and upkeep processes 
 Manage and optimize infrastructure, including provisioning and configuring virtual machines, containers, and storage solutions. 
 Implement security best practices, including access controls, encryption, and vulnerability scanning, to protect company data and systems. 
 Troubleshoot and resolve infrastructure and application issues, ensuring minimal downtime and disruption to business operations. Troubleshoot software infrastructure issues and collaborate with the team to resolve them. 
 Stay up-to-date with industry trends and emerging technologies, assessing their potential impact and recommending adoption where appropriate. 
 Mentor and guide junior DevOps engineers, fostering a culture of knowledge sharing and continuous learning.","The Sr. dev ops engineer will have a bachelor’s degree and 5 to 7 years of Sr. dev ops engineer experience. 
 Expert in Linux and Linux distribution administration. 
 Deep understanding of containerization technologies, such as Docker, Kubernetes sand/or OpenShift. 
 Familiarity with version control systems, such as Git, and CI/CD tools like Gitlab CI and Teamcity 
 Strong experience with scripting languages such as Python, Bash 
 Experience with infrastructure as code (e.g., Terraform, Helm). 
 Solid understanding of networking concepts, including TCP/IP, DNS, load balancers, and firewalls. 
 Hands-on experience with Microsoft Azure, AWS and Microsoft 365 
 Proven experience in overseeing the design, development, and implementation of software systems, applications, and related products. 
 Proven experience with systems planning, security principles, and general software management best practices. 
 Excellent understanding of the organization’s goals and objectives 
 Troubleshooting and analytical skills 
 Strong communication and collaboration skills"
4 days ago,Sales Executive,carecomm -,,https://wuzzuf.net/jobs/p/7sOGV40sQpTC-Sales-Executive-carecomm-Cairo-Egypt,"Cairo, Egypt ",Full Time,Hybrid,'0 - 4,"['Sales', 'Customer Service', 'sales skills', 'Sales Target', 'CRM', 'CRM Software', 'Executive', 'Sales Executive', 'MS', 'Software']","Work with team members to meet sales and performance goals. 
 Maintain detailed records of chats, follow-up information, and outcomes. 
 Meet or exceed projected weekly and monthly sales targets. 
 Handle and respond to customer complaints or product concerns and seek to resolve the problem while adhering to company policy. 
 Accurately document the customer's 1 personal information, including phone number, address, and other order information. 
 Commit to sales scripts and customer answer sheets. 
 Persuasively engage the customer in conversation to explain how the item will add value to their lives and meet their needs. 
 Ask relevant, leading questions to understand the customer's needs and recommend the best product or service for their needs. 
 Follow the prepared sales script to provide accurate information about a product's price, features, and components. 
 Delivering scripted talks that describe the company’s products to persuade potential customers. 
 Answering customer questions about products. 
 Following up on previous customers for potential sales","Proven experience as a Sales Executive or relevant role 
 Very Good in English 
 Good knowledge of MS Office 
 Hands-on experience with CRM software is a plus 
 Thorough understanding of marketing and negotiating techniques 
 Fast learner and a passion for sales 
 Self-motivated with a results-driven approach 
 Aptitude in delivering attractive presentations 
 High school degree"
4 days ago,Sales Representative,Premium Card -,,https://wuzzuf.net/jobs/p/8299ScVdaMl5-Sales-Representative-Premium-Card-Alexandria-Egypt,"Bab Sharq, Alexandria, Egypt ",Full Time,,'0 - 3,"['Sales', 'sales skills', 'Sales Target', 'Customer Service', 'Experience', 'Insurance', 'Banking']","Achieving the target of selling premium cards. 
 Receiving forms from corporate officers and reviewing documents and attachments. 
 Entering data of targeted clients into the system. 
 Communicating with potential clients and acquiring them. 
 Working on activating inactive cards. 
 Completing remaining documentation for rejected forms. 
 Following up on increasing credit limits for cardholders.","0-3 years of work experience ( Banking sector - Consumer finance - Insurance ) is a must. 
 Bachelor's degree 
 Communication skills 
 Presentable"
4 days ago,Senior Sales Representative,El Saba Group  -,,https://wuzzuf.net/jobs/p/8QLksSFxsNxn-Senior-Sales-Representative-El-Saba-Group-Cairo-Egypt,"New Cairo, Cairo, Egypt ",Full Time,On-site,'3 - 5,"['Sales', 'sales skills', 'Sales Target', 'Senior sales', 'senior', 'Automotive Sales', 'Negotiation', 'Customer Service']","* Build and maintain strong relationships with clients to ensure repeat business and referrals. 
 * Understand customer needs and recommend suitable vehicle models and financial solutions. 
 * Conduct professional product presentations and test drives. 
 * Lead price negotiations and close high-value deals effectively. 
 * Upsell accessories, insurance, and after-sales services. 
 * Ensure timely completion of sales documentation and vehicle delivery. 
 * Mentor and support junior sales staff when needed. 
 * Collaborate with the service and delivery teams to ensure top-quality customer experience. 
 * Achieve and exceed monthly and quarterly sales targets.",No list items found in the requirements section.
4 days ago,Senior HR generalist,Dar Elelm -,,https://wuzzuf.net/jobs/p/5JgqJOxs3tWT-Senior-HR-generalist-Dar-Elelm-Giza-Egypt,"Sheikh Zayed, Giza, Egypt ",Full Time,On-site,'4 - 6,"['Human Resources (HR)', 'Payroll', 'Personnel', 'Management', 'Communication', 'Labor Law']","Role Summary: 
 We seek a highly motivated Senior HR Generalist to join our team and drive a culture of excellence, discipline, and growth. This role is ideal for a proactive HR professional who can manage the entire HR cycle and play a key role in improving our work environment and employee engagement across all subsidiaries. 
 Key Responsibilities: 
 • Lead and manage the recruitment and onboarding processes across all branches. 
 • Oversee attendance and discipline, and ensure employees adhere to company policies and working hours. 
 • Design and implement effective KPI systems to monitor and enhance employee performance. 
 • Organize and manage training programs to upskill staff and promote professional growth. 
 • Handle payroll, including social insurance, tax deductions, bonuses, and salary structure. 
 • Administer vacation requests, leaves, and penalty systems according to labor laws. 
 • Foster a positive and professional work environment, ensuring team alignment and strong communication. 
 • Act as a strategic partner with management to align HR initiatives with company goals.",No list items found in the requirements section.
4 days ago,Loading Specialist – Tourism &Travel,Unique Solutions Network -,,https://wuzzuf.net/jobs/p/FojoP5NFOzJp-Loading-Specialist-–-Tourism-Travel-Unique-Solutions-Network-Cairo-Egypt,"Cairo, Egypt ",Full Time,On-site,'1 - 2,"['Administration', 'business', 'Contracts', 'Customer Service', 'Data Entry', 'Management', 'Operations', 'Reservation', 'Sales', 'Suppliers', 'Tourism', 'Travel']","Job Role: 
 We are seeking a detail-oriented and organized Loading Specialist to join our team in the 
 tourism and travel sector. This role is responsible for accurately inputting and maintaining travel 
 products, pricing, and availability in our reservation or content management systems. The ideal 
 candidate has a keen eye for detail, excellent data entry skills, and a strong understanding of 
 travel-related products 
 Upload and update travel products (hotels, transfers, tours, packages) into the booking 
 systems or content platforms. 
 Verify and Upload accurate rates, availability, terms and conditions, and other product information 
 details 
 Ensure timely loading of hotels and supplier contracts and seasonal rates 
 Monitor system errors or discrepancies and resolve them promptly. 
 Maintain documentation and logs related to product loading and updates. 
 Support the wider operations and sales teams with content or pricing queries.","A bachelor’s degree in Tourism, Business Administration, or a related field is a plus. 
 1–2 years of experience in the travel industry. 
 Previous experience working with global travel suppliers or DMCs (Destination Management Companies) Plus. 
 Proficiency in MS Excel and familiarity with reservation/content management systems 
 Strong data entry and typing skills with attention to accuracy. 
 Ability to interpret supplier contracts and product descriptions. 
 Excellent attention to detail and organizational skills. 
 Strong communication skills, both written and verbal. 
 Ability to manage time effectively and meet tight deadlines. 
 Problem-solving mindset and ability to work under pressure. 
 Team player with a proactive attitude."
4 days ago,Media Buyer,الناجح للخدمات والاستشارات التعليمية والطلابية -,,https://wuzzuf.net/jobs/p/BrI3RCubM4pL-Media-Buyer-الناجح-للخدمات-والاستشارات-التعليمية-والطلابية-Cairo-Egypt,"Mokattam, Cairo, Egypt ",Full Time,On-site,'2+,"['Advertising', 'campaigns', 'Digital Marketing', 'Marketing', 'Media Buyer', 'Media Buying', 'Online Ads', 'Google Ads', 'Social Media Optimization', 'Social Media', 'digital marketing', 'Media Planning', 'Planning', 'Social Media Advertising', 'Google Adwords', 'Google Analytics', 'Google Keyword Planner', 'Google AdSense', 'tiktok ads', 'instagram ads', 'meta business', 'snapchat ads', 'tiktok business', 'meta ads', 'Advertising Media', 'Social Media Strategy', 'Digital Advertising', 'Online Advertising', 'Advertising Campaigns', 'Web Advertising', 'Internet Advertising', 'Advertisement', 'Advertisements', 'Facebook Advertising', 'Digital Media Sales']","Platforms you will be working with: Meta Instagram, Tiktok Business, Snapchat Business, Google Ads 
 Responsibilities: 
 Develop and implement comprehensive media plans in alignment with marketing objectives and target audiences 
 Research, identify, and evaluate potential media channels for advertising campaigns 
 Create compelling and effective advertising content 
 Manage and optimize media budgets to ensure efficient allocation of resources 
 Monitor campaign performance and analyze data to make data-driven recommendations for optimization 
 Stay current with industry trends, emerging technologies, and changes in media landscape 
 Prepare regular reports on media campaign performance and present findings to stakeholders.","Proven experience as a Media Buyer, preferably with a focus on digital advertising. 
 Strong understanding of media planning, buying strategies, and advertising platforms. 
 Proficiency in using media buying tools and software. 
 Analytical mindset with the ability to interpret and leverage data for campaign optimization. 
 Creative thinker with the ability to devise innovative media strategies. 
 Ability to manage multiple campaigns simultaneously."
